column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,n,beta_per_A,se,t,p,vcov_type,aa_vs_gg_additive_2beta,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
demyelination_like__tbss__cerebral_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,demyelination_like,cerebral peduncle (left),composite,A,G,32568,-0.03798851371019367,0.01176887325441538,-3.2278802642335664,0.0012483670408028604,nonrobust,-0.07597702742038734,ok,0.0012483670408028604,2.903657706032339,300,1.0,True,True,False
axonal_loss_like__tbss__tapetum_right,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,axonal_loss_like,tapetum (right),composite,A,G,32568,-0.021605375135438882,0.0069871500227784746,-3.092158471623513,0.0019887752619301654,nonrobust,-0.043210750270877764,ok,0.0019887752619301654,2.701414290791148,300,2.0,True,True,False
axonal_loss_like__tbss__cerebral_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,axonal_loss_like,cerebral peduncle (left),composite,A,G,32568,-0.02246850505200556,0.007793691818645685,-2.882909098131356,0.003942834097354477,nonrobust,-0.04493701010401112,ok,0.003942834097354477,2.404191496352924,300,3.0,True,True,False
axonal_loss_like__tbss__tapetum_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,axonal_loss_like,tapetum (left),composite,A,G,32568,-0.01963613426012415,0.006940269313882013,-2.8293043644354996,0.004667832311917207,nonrobust,-0.0392722685202483,ok,0.004667832311917207,2.3308847540227964,300,4.0,True,True,False
demyelination_like__tbss__superior_cerebellar_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,demyelination_like,superior cerebellar peduncle (left),composite,A,G,32568,0.0323984589588759,0.012094177832220838,2.6788475751167793,0.007391375990084606,nonrobust,0.0647969179177518,ok,0.007391375990084606,2.1312747051405223,300,5.0,True,True,False
tract_geometry_like__tbss__cerebral_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,tract_geometry_like,cerebral peduncle (left),composite,A,G,32568,0.025399351998882286,0.009720749768913194,2.6129005069247864,0.00898193961541401,nonrobust,0.05079870399776457,ok,0.00898193961541401,2.0466298689772273,300,6.0,True,True,False
tract_geometry_like__tbss__superior_fronto_occipital_fasciculus_lef,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,tract_geometry_like,superior fronto-occipital fasciculus (left),composite,A,G,32568,0.02357487030837305,0.009048727930642618,2.6053242498914235,0.009182981073769594,nonrobust,0.0471497406167461,ok,0.009182981073769594,2.03701631076804,300,7.0,True,True,False
free_water_like__tbss__superior_cerebellar_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,free_water_like,superior cerebellar peduncle (left),composite,A,G,32568,0.03277061193583374,0.012863020862785048,2.547660637840121,0.010849424414634936,nonrobust,0.06554122387166748,ok,0.010849424414634936,1.96459330146325,300,8.0,True,False,False
tract_geometry_like__tbss__superior_fronto_occipital_fasciculus_rig,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,tract_geometry_like,superior fronto-occipital fasciculus (right),composite,A,G,32568,0.024556083980397967,0.009643148113839064,2.5464800177814406,0.010886185503995859,nonrobust,0.049112167960795934,ok,0.010886185503995859,1.963124269442484,300,9.0,True,False,False
axonal_loss_like__tbss__superior_fronto_occipital_fasciculus_rig,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,axonal_loss_like,superior fronto-occipital fasciculus (right),composite,A,G,32568,-0.015038254577099583,0.00624265177289771,-2.4089529777053595,0.0160039702108185,nonrobust,-0.030076509154199165,ok,0.0160039702108185,1.79577226567152,300,10.0,True,False,False
free_water_like__tbss__cerebral_peduncle_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,free_water_like,cerebral peduncle (left),composite,A,G,32568,-0.030852091711630933,0.013028482915454609,-2.368049443042494,0.017888053193928395,nonrobust,-0.061704183423261866,ok,0.017888053193928395,1.7474369223247965,300,11.0,True,False,False
tract_geometry_like__wm__posterior_thalamic_radiation_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_wm,tract_geometry_like,posterior thalamic radiation (left),composite,A,G,32568,-0.02045749373714884,0.008830217209126464,-2.316759967807475,0.020523090856046616,nonrobust,-0.04091498747429768,ok,0.020523090856046616,1.6877572322230172,300,12.0,True,False,False
tract_geometry_like__tbss__anterior_limb_of_internal_capsule_left,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,tract_geometry_like,anterior limb of internal capsule (left),composite,A,G,32568,0.019807168833848404,0.008861683231503208,2.235147467631667,0.025414538708282183,nonrobust,0.03961433766769681,ok,0.025414538708282183,1.5949177686394482,300,13.0,True,False,False
demyelination_like__tbss__superior_cerebellar_peduncle_right,,,secondary_composite,secondary_composite,mechanistic_composite,secondary,dMRI_composite_tbss,demyelination_like,superior cerebellar peduncle (right),composite,A,G,32568,0.02710123367160275,0.012224447843850074,2.2169699619796694,0.02663214371641885,nonrobust,0.0542024673432055,ok,0.02663214371641885,1.5745938742392211,300,14.0,True,False,False
