column_name,family,panel,modality,metric,region,source,n,beta_per_A,se,chisq,p,log10p,engine,info,eaf,status,effect_allele,other_allele,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
demyelination_like__tbss__superior_cerebellar_peduncle_left,secondary_composite,secondary,dMRI_composite_tbss,demyelination_like,superior cerebellar peduncle (left),composite,39218,-0.0219537,0.00663614,10.9442,0.000938987908886047,3.02734,regenie,,0.480557,ok,A,G,0.000938987908886047,3.02734,12,1.0,True,True,True
free_water_like__tbss__superior_cerebellar_peduncle_right,secondary_composite,secondary,dMRI_composite_tbss,free_water_like,superior cerebellar peduncle (right),composite,39218,-0.0219973,0.00679479,10.4806,0.0012063407542516474,2.91853,regenie,,0.480557,ok,A,G,0.0012063407542516474,2.91853,12,2.0,True,True,False
free_water_like__tbss__superior_cerebellar_peduncle_left,secondary_composite,secondary,dMRI_composite_tbss,free_water_like,superior cerebellar peduncle (left),composite,39218,-0.0215691,0.00674343,10.2306,0.0013812745181803721,2.85972,regenie,,0.480557,ok,A,G,0.0013812745181803721,2.85972,12,3.0,True,True,False
demyelination_like__tbss__superior_cerebellar_peduncle_right,secondary_composite,secondary,dMRI_composite_tbss,demyelination_like,superior cerebellar peduncle (right),composite,39218,-0.020016,0.00667698,8.98661,0.0027196311071984247,2.56549,regenie,,0.480557,ok,A,G,0.0027196311071984247,2.56549,12,4.0,True,True,False
axonal_loss_like__tbss__superior_cerebellar_peduncle_left,secondary_composite,secondary,dMRI_composite_tbss,axonal_loss_like,superior cerebellar peduncle (left),composite,39218,-0.00449933,0.00653454,0.474095,0.49110912096496395,0.308822,regenie,,0.480557,ok,A,G,0.49110912096496395,0.308822,12,5.0,False,False,False
tract_geometry_like__tbss__superior_cerebellar_peduncle_left,secondary_composite,secondary,dMRI_composite_tbss,tract_geometry_like,superior cerebellar peduncle (left),composite,39218,0.00421077,0.00658691,0.408657,0.5226524613757482,0.281787,regenie,,0.480557,ok,A,G,0.5226524613757482,0.281787,12,6.0,False,False,False
tract_geometry_like__tbss__superior_cerebellar_peduncle_right,secondary_composite,secondary,dMRI_composite_tbss,tract_geometry_like,superior cerebellar peduncle (right),composite,39218,-0.00337215,0.00660686,0.260509,0.6097699245273939,0.214834,regenie,,0.480557,ok,A,G,0.6097699245273939,0.214834,12,7.0,False,False,False
demyelination_like__wm__acoustic_radiation_left,secondary_composite,secondary,dMRI_composite_wm,demyelination_like,acoustic radiation (left),composite,39216,-0.00370483,0.00949701,0.152182,0.6964597137333284,0.157104,regenie,,0.480556,ok,A,G,0.6964597137333284,0.157104,12,8.0,False,False,False
demyelination_like__wm__acoustic_radiation_right,secondary_composite,secondary,dMRI_composite_wm,demyelination_like,acoustic radiation (right),composite,39216,0.00267603,0.0097229,0.0757515,0.7831392665330125,0.106161,regenie,,0.480556,ok,A,G,0.7831392665330125,0.10616099999999999,12,9.0,False,False,False
axonal_loss_like__tbss__superior_cerebellar_peduncle_right,secondary_composite,secondary,dMRI_composite_tbss,axonal_loss_like,superior cerebellar peduncle (right),composite,39218,-0.00165595,0.00651002,0.0647038,0.7992101669123199,0.097339,regenie,,0.480557,ok,A,G,0.7992101669123199,0.09733900000000001,12,10.0,False,False,False
demyelination_like__tbss__anterior_corona_radiata_left,secondary_composite,secondary,dMRI_composite_tbss,demyelination_like,anterior corona radiata (left),composite,39218,0.0022528,0.00967763,0.0541887,0.8159286820559517,0.0883478,regenie,,0.480557,ok,A,G,0.8159286820559517,0.08834780000000003,12,11.0,False,False,False
demyelination_like__tbss__anterior_corona_radiata_right,secondary_composite,secondary,dMRI_composite_tbss,demyelination_like,anterior corona radiata (right),composite,39218,0.001175,0.00964985,0.0148264,0.9030861877243729,0.0442708,regenie,,0.480557,ok,A,G,0.9030861877243729,0.04427079999999999,12,12.0,False,False,False
