column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,reference,n,status,beta_AA_vs_GG,se_AA_vs_GG,p_AA_vs_GG,beta_AG_vs_GG,se_AG_vs_GG,p_AG_vs_GG,wald_df,wald_chi2,wald_p,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
SWI_deep_gm_QSM_f24474,24474.0,24474.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32528,ok,0.02749599476847203,0.01542756128896922,0.0747155975647115,0.003459857800864353,0.013703840679197549,0.8006766513102421,2,4.284993708219112,0.11736144248506744,0.11736144248506744,0.9304745612348565,102,33.0,False,False,False
SWI_deep_gm_QSM_f24481,24481.0,24481.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32537,ok,0.016316793905899053,0.015469519211197266,0.2915382275880826,-0.013116540723151692,0.01374178922780278,0.33983771765684156,2,5.178061120305615,0.07509280276534575,0.07509280276534575,1.1244016857532493,102,24.0,False,False,False
SWI_deep_gm_QSM_f24480,24480.0,24480.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32537,ok,0.0006721827324080034,0.015506509849535393,0.9654240629729902,-0.00702798944865561,0.013774139918532073,0.6098933482631017,2,0.4604966176388778,0.794336337294851,0.794336337294851,0.09999556998783814,102,97.0,False,False,False
SWI_deep_gm_QSM_f24468,24468.0,24468.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32538,ok,0.012561831864384587,0.014680747530656402,0.3921883844700986,-0.011324904933144454,0.013040954454910741,0.3851760335186659,2,3.8102533520784343,0.14880379155324175,0.14880379155324175,0.8273860027305161,102,39.0,False,False,False
SWI_deep_gm_QSM_f24477,24477.0,24477.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32537,ok,-0.009107126255844061,0.015196648464388146,0.5489869725851784,-0.010677080024076952,0.013499392758211179,0.4289904773096619,2,0.647321956881336,0.7234954813731054,0.7234954813731054,0.14056417694418946,102,96.0,False,False,False
SWI_deep_gm_QSM_f24473,24473.0,24473.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32530,ok,0.025539455378857125,0.015472484224404193,0.09882253587806132,-0.008833951390315982,0.013743799187531899,0.520385064013569,2,7.056214168475249,0.029360440139006138,0.029360440139006138,1.5322374382481716,102,13.0,True,False,False
SWI_deep_gm_QSM_f24467,24467.0,24467.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32538,ok,0.0290913846327025,0.01469208783814542,0.04770405137213704,0.002912502585685724,0.013051028085913534,0.8234103111610027,2,5.464285379038983,0.06507969458755314,0.06507969458755314,1.1865544938306245,102,22.0,False,False,False
SWI_deep_gm_QSM_f24470,24470.0,24470.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32528,ok,0.010478665875922378,0.015230444163869835,0.4914527997299518,-0.004250110928357196,0.013529126753478754,0.7534127719709868,2,1.3305732294303505,0.5141261504672179,0.5141261504672179,0.2889303056548953,102,79.0,False,False,False
SWI_deep_gm_QSM_f24471,24471.0,24471.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32534,ok,0.01445826292640158,0.014508793559814208,0.319006435646541,0.004535441025855559,0.012887381158006476,0.7248939535499831,2,1.0972607726909525,0.5777405500991081,0.5777405500991081,0.23826714939428947,102,84.0,False,False,False
SWI_deep_gm_QSM_f24475,24475.0,24475.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32537,ok,0.016939609825516115,0.014774670460169354,0.25158430738439214,-0.009569225650117306,0.013124502655545075,0.46593880845654,2,4.563624470026091,0.10209901155410864,0.10209901155410864,0.9909784624054917,102,30.0,False,False,False
SWI_deep_gm_QSM_f24476,24476.0,24476.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32538,ok,0.019742229040190233,0.014679082468023954,0.1786597850522967,-0.008161984865602394,0.01303947537450908,0.5313559648330473,2,5.139621758985493,0.07655002123387811,0.07655002123387811,1.1160546844986423,102,25.0,False,False,False
SWI_deep_gm_QSM_f24482,24482.0,24482.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32537,ok,0.029429722904654607,0.015466246720349686,0.05707098946153366,-0.0007807647242809288,0.013738384043385145,0.9546802544616594,2,5.9808527645996215,0.05026599962119537,0.05026599962119537,1.298725676370712,102,17.0,False,False,False
SWI_deep_gm_QSM_f24479,24479.0,24479.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32534,ok,0.012211664607420908,0.015547500292382475,0.4322000997181036,-0.007983865004037485,0.013810972720060188,0.5632133056388586,2,2.3965746469823412,0.30171050215642486,0.30171050215642486,0.5204095723268323,102,54.0,False,False,False
SWI_deep_gm_QSM_f24478,24478.0,24478.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32536,ok,0.0006504442218826614,0.015357536597800153,0.9662172236449653,-0.00040546780898131603,0.013641912024514086,0.9762887821740684,2,0.006708910967100571,0.9966511644165875,0.9966511644165875,0.00145682150629597,102,102.0,False,False,False
SWI_deep_gm_QSM_f24469,24469.0,24469.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32531,ok,0.02203138004968352,0.015300799677063237,0.14990994889762582,0.010858579491359006,0.013591459536996026,0.42433886903334384,2,2.0832685339735506,0.3528775143921435,0.3528775143921435,0.45237601431369495,102,60.0,False,False,False
SWI_deep_gm_QSM_f24472,24472.0,24472.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32534,ok,0.02444885474550996,0.014607883498137544,0.09420419933122406,-0.003737239727184471,0.01297601784123475,0.7733399579722404,2,5.529469004177382,0.06299282159061638,0.06299282159061638,1.200708938184653,102,19.0,False,False,False
SWI_deep_gm_QSM_f24483,24483.0,24483.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32535,ok,-0.04018146576188017,0.015599035961583442,0.010002570998649644,-0.0018932499011375128,0.01385619380182636,0.8913196646566391,2,9.911371486802887,0.007043248761867177,0.007043248761867177,2.1522269724058614,102,2.0,True,True,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,GG,32473,ok,0.004936964729817859,0.007514411209235864,0.5111859481979593,0.011912307169069361,0.006672182326292745,0.07421098493672292,2,3.4842308517357026,0.1751494926736436,0.1751494926736436,0.7565911162929414,3,3.0,False,False,False
SWI_deep_gm_QSM_f24484,24484.0,24484.0,exploratory_context,exploratory_context,exploratory,exploratory,SWI_deep_gm,QSM,,basket,A,G,GG,32535,ok,-0.01764215527363145,0.015540235777975961,0.2562763292020311,-0.005252501110495624,0.013803963219009912,0.7035718183834916,2,1.4436928303783243,0.4858543384206019,0.4858543384206019,0.3134939148982968,102,75.0,False,False,False
WM_volume_normalized,25007.0,25007.0,exploratory_structural,exploratory_structural,exploratory,exploratory,T1,WM_volume_normalized,Volume of white matter (normalised for head size),basket,A,G,GG,32568,ok,0.011005323115259924,0.01231761958956303,0.3716166140376148,0.01576735972424166,0.010941756062128756,0.1495869970846303,2,2.0768835538942807,0.35400587251974186,0.35400587251974186,0.4509895335059505,2,1.0,False,False,False
