column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,model,contrast,n,beta,se,stat,p,vcov_type,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,additive_dosage,per_A_allele,32412,0.004870518916626623,0.0049603177116204645,0.9818965638464102,0.3261582664573458,nonrobust,ok,0.3261582664573458,0.4865716098402068,30,10.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,additive_dosage,per_A_allele,32412,0.004870518916626623,0.005041449372006683,0.9660949773037145,0.33399665761120745,HC3,ok,0.33399665761120745,0.4762578792611066,30,11.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,additive_dosage,per_A_allele,32462,0.002411180070649626,0.003920793839644139,0.6149724186641935,0.538577321595215,nonrobust,ok,0.538577321595215,0.26875193780422724,30,19.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,additive_dosage,per_A_allele,32462,0.002411180070649626,0.003966595048944306,0.6078714970643027,0.5432727050864152,HC3,ok,0.5432727050864152,0.26498211408671335,30,20.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,additive_dosage,per_A_allele,32473,0.0020746914575711217,0.00375083495829379,0.5531278983586294,0.5801797088447644,nonrobust,ok,0.5801797088447644,0.23643746424560805,30,21.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,additive_dosage,per_A_allele,32473,0.0020746914575711217,0.003783528686915565,0.5483482825823283,0.5834527804794245,HC3,ok,0.5834527804794245,0.23399428616023343,30,23.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,dominant_A,AA/AG_vs_GG,32412,0.016268339203633117,0.008328792423061254,1.9532650565991265,0.05079693847194474,nonrobust,ok,0.05079693847194474,1.2941624618264622,30,1.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,dominant_A,AA/AG_vs_GG,32412,0.016268339203633117,0.008407643904901693,1.9349462688528714,0.05299688955659868,HC3,ok,0.05299688955659868,1.27574961885291,30,2.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,dominant_A,AA/AG_vs_GG,32462,0.011529824672147294,0.006581508163475673,1.7518514580187698,0.07980896075448846,nonrobust,ok,0.07980896075448846,1.0979483443917537,30,3.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,dominant_A,AA/AG_vs_GG,32462,0.011529824672147294,0.0066224571040696375,1.7410191551202312,0.08168022093868785,HC3,ok,0.08168022093868785,1.0878830961865331,30,4.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,dominant_A,AA/AG_vs_GG,32473,0.00947068157097803,0.0062958051644033935,1.5042844121869352,0.1325180467068746,nonrobust,ok,0.1325180467068746,0.87772497416857,30,6.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,dominant_A,AA/AG_vs_GG,32473,0.00947068157097803,0.006321202472960038,1.498240502735104,0.13407077598902503,HC3,ok,0.13407077598902503,0.8726658769571434,30,7.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,genotype_pairwise,AG_vs_GG,30064,0.011623342781283796,0.007225619321605885,1.608629276459104,0.1077081265833084,nonrobust,ok,0.1077081265833084,0.9677515279263439,30,5.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,genotype_pairwise,AG_vs_GG,30073,0.008376597937739948,0.00691396337578459,1.2115479186768732,0.22569518011759143,nonrobust,ok,0.22569518011759143,0.6464777154932824,30,8.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,genotype_pairwise,AA_vs_GG,30064,0.00784696537124904,0.008125898052179737,0.9656736179632631,0.3342154387999282,nonrobust,ok,0.3342154387999282,0.4759734921124417,30,12.0,False,False,False
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,genotype_pairwise,AG_vs_GG,30017,0.008778073788068618,0.009156389619031875,0.9586828600896455,0.3377264028527329,nonrobust,ok,0.3377264028527329,0.47143498566302805,30,13.0,False,False,False
