column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,n,beta_per_A,se,t,p,vcov_type,aa_vs_gg_additive_2beta,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
WMH_mean_volume,24486.0,24486.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_mean_volume,,basket,A,G,32412,0.004870518916626623,0.0049603177116204645,0.9818965638464102,0.3261582664573458,nonrobust,0.009741037833253245,ok,0.3261582664573458,0.4865716098402068,3,1.0,False,False,False
WMH_volume,25781.0,25781.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_volume,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),basket,A,G,32462,0.002411180070649626,0.003920793839644139,0.6149724186641935,0.538577321595215,nonrobust,0.004822360141299252,ok,0.538577321595215,0.26875193780422724,3,2.0,False,False,False
WMH_count,24485.0,24485.0,controls,controls_pathology,control,secondary,T2_FLAIR,WMH_count,,basket,A,G,32473,0.0020746914575711217,0.00375083495829379,0.5531278983586294,0.5801797088447644,nonrobust,0.004149382915142243,ok,0.5801797088447644,0.23643746424560805,3,3.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,25075.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,A,G,32565,0.010434049794568512,0.0067609542158904344,1.5432806466940883,0.12277258379648245,nonrobust,0.020868099589137025,ok,0.12277258379648245,0.9108986041658593,17,1.0,False,False,False
dMRI_TBSS_L1_splenium_of_corpus_callosum,25204.0,25060.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,splenium of corpus callosum,basket,A,G,32564,-0.006647543120144729,0.006683988188014736,-0.9945474069006648,0.319963956618992,nonrobust,-0.013295086240289458,ok,0.319963956618992,0.494898941439826,17,2.0,False,False,False
dMRI_TBSS_L1_genu_of_corpus_callosum,25202.0,25058.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,A,G,32566,-0.006431025067458315,0.006583710815316224,-0.9768085579483984,0.32867132105073704,nonrobust,-0.01286205013491663,ok,0.32867132105073704,0.4832381895989204,17,3.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_left,25227.0,25083.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (left),basket,A,G,32537,0.005347609959426834,0.005684845791159636,0.9406781038357752,0.34687694880243836,nonrobust,0.010695219918853667,ok,0.34687694880243836,0.45982455960022417,17,4.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_right,25224.0,25080.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,A,G,32546,0.004556337878437525,0.005838974500123905,0.7803318679231837,0.4352013338617322,nonrobust,0.00911267575687505,ok,0.4352013338617322,0.36130978222554244,17,5.0,False,False,False
dMRI_TBSS_L1_corticospinal_tract_right,25206.0,25062.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (right),basket,A,G,32560,0.005303911147188026,0.007485345415950644,0.7085726646476241,0.4785948659154725,nonrobust,0.010607822294376052,ok,0.4785948659154725,0.320031964553629,17,6.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_right,25218.0,25074.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (right),basket,A,G,32564,0.004393225595105036,0.0066649896541422825,0.6591496495984285,0.509804418097063,nonrobust,0.008786451190210072,ok,0.509804418097063,0.2925964051420343,17,7.0,False,False,False
dMRI_TBSS_L1_anterior_corona_radiata_right,25222.0,25078.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,anterior corona radiata (right),basket,A,G,32560,-0.004170735009592471,0.0064784093137712434,-0.6437899810879011,0.5197162451815026,nonrobust,-0.008341470019184942,ok,0.5197162451815026,0.2842337078790491,17,8.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_right,25226.0,25082.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (right),basket,A,G,32540,-0.003343802530425919,0.005455774326965643,-0.6128923833778978,0.5399518580006784,nonrobust,-0.006687605060851838,ok,0.5399518580006784,0.2676449600597969,17,9.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_left,25225.0,25081.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (left),basket,A,G,32548,0.0034931986152497325,0.005804531947859604,0.6018053904480334,0.5473079515737744,nonrobust,0.006986397230499465,ok,0.5473079515737744,0.2617682421561854,17,10.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_left,25215.0,25071.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (left),basket,A,G,32563,0.004193490110165319,0.007194335770889097,0.5828877388700299,0.5599729819840378,nonrobust,0.008386980220330638,ok,0.5599729819840378,0.2518329266693532,17,11.0,False,False,False
dMRI_TBSS_L1_corticospinal_tract_left,25207.0,25063.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,corticospinal tract (left),basket,A,G,32563,0.0034729114086042364,0.007532043250305967,0.4610848999656447,0.6447408281375688,nonrobust,0.006945822817208473,ok,0.6447408281375688,0.19061482727079257,17,12.0,False,False,False
dMRI_TBSS_L1_cerebral_peduncle_right,25214.0,25070.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,cerebral peduncle (right),basket,A,G,32563,0.0018567228383242873,0.006933323368794559,0.2677969480957731,0.7888573458053432,nonrobust,0.0037134456766485745,ok,0.7888573458053432,0.1030015259806783,17,13.0,False,False,False
dMRI_TBSS_L1_posterior_thalamic_radiation_right,25228.0,25084.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior thalamic radiation (right),basket,A,G,32563,0.0016900140460234178,0.006530351576412907,0.25879373051331717,0.7957960597843566,nonrobust,0.0033800280920468356,ok,0.7957960597843566,0.09919821550145229,17,14.0,False,False,False
