column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,n,beta_per_A,se,t,p,vcov_type,aa_vs_gg_additive_2beta,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
roi__superior_cerebellar_peduncle_left__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,superior cerebellar peduncle (left),roi_pca,A,G,32568,0.04110019833248177,0.015985355576469067,2.5711156774630974,0.010141620157266234,nonrobust,0.08220039666496354,ok,0.010141620157266234,1.9938926594845061,42,1.0,True,False,False
roi__anterior_limb_of_internal_capsule_left__PC2,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC2,anterior limb of internal capsule (left),roi_pca,A,G,32568,-0.022927915909990368,0.009947946113290411,-2.3047889130962194,0.02118476529807364,nonrobust,-0.045855831819980736,ok,0.02118476529807364,1.673976343101091,42,2.0,True,False,False
roi__superior_cerebellar_peduncle_right__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,superior cerebellar peduncle (right),roi_pca,A,G,32568,0.03148960477064006,0.01631227219990356,1.9304241852233333,0.0535631233441814,nonrobust,0.06297920954128013,ok,0.0535631233441814,1.271134106574256,42,3.0,False,False,False
roi__splenium_of_corpus_callosum__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,splenium of corpus callosum,roi_pca,A,G,32568,-0.02899547155178789,0.015615491888503615,-1.8568401020485843,0.0633430864465446,nonrobust,-0.05799094310357578,ok,0.0633430864465446,1.1983007790751623,42,4.0,False,False,False
roi__splenium_of_corpus_callosum__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,splenium of corpus callosum,roi_pca,A,G,32568,-0.02899547155178789,0.015615491888503615,-1.8568401020485843,0.0633430864465446,nonrobust,-0.05799094310357578,ok,0.0633430864465446,1.1983007790751623,42,4.0,False,False,False
roi__body_of_corpus_callosum__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,body of corpus callosum,roi_pca,A,G,32568,-0.02492465333518169,0.015132302848726966,-1.6471156825465283,0.09954408630170923,nonrobust,-0.04984930667036338,ok,0.09954408630170923,1.0019845353635628,42,6.0,False,False,False
roi__superior_cerebellar_peduncle_right__PC2,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC2,superior cerebellar peduncle (right),roi_pca,A,G,32568,0.015124681347711819,0.010496573030863283,1.440916125981348,0.14961816138959086,nonrobust,0.030249362695423637,ok,0.14961816138959086,0.8250156864678246,42,7.0,False,False,False
roi__genu_of_corpus_callosum__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,genu of corpus callosum,roi_pca,A,G,32568,-0.02061801615537425,0.015001048702919217,-1.3744383185264886,0.16931526933313237,nonrobust,-0.0412360323107485,ok,0.16931526933313237,0.7713038742118323,42,8.0,False,False,False
roi__genu_of_corpus_callosum__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,genu of corpus callosum,roi_pca,A,G,32568,-0.02061801615537425,0.015001048702919217,-1.3744383185264886,0.16931526933313237,nonrobust,-0.0412360323107485,ok,0.16931526933313237,0.7713038742118323,42,8.0,False,False,False
roi__corticospinal_tract_left__PC2,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC2,corticospinal tract (left),roi_pca,A,G,32568,0.018257343682725788,0.013776581144334053,1.325244884158691,0.1850994020412158,nonrobust,0.036514687365451576,ok,0.1850994020412158,0.7325949842218114,42,10.0,False,False,False
roi__posterior_thalamic_radiation_left__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,posterior thalamic radiation (left),roi_pca,A,G,32568,-0.021488268352117396,0.017868934157156086,-1.2025489692406668,0.22915980078108522,nonrobust,-0.04297653670423479,ok,0.22915980078108522,0.6398615639739741,42,11.0,False,False,False
roi__posterior_thalamic_radiation_left__PC2,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC2,posterior thalamic radiation (left),roi_pca,A,G,32568,0.01458048632621749,0.012236121593435643,1.1915937754361265,0.23342940180173433,nonrobust,0.02916097265243498,ok,0.23342940180173433,0.631844442909116,42,12.0,False,False,False
roi__posterior_limb_of_internal_capsule_right__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,posterior limb of internal capsule (right),roi_pca,A,G,32568,-0.017609297070889224,0.014976177713586532,-1.1758205202729333,0.2396753497895651,nonrobust,-0.03521859414177845,ok,0.2396753497895651,0.620376630133512,42,13.0,False,False,False
roi__corticospinal_tract_left__PC1,,,secondary_roi_pca,secondary_roi_pca,dimension_reduction,secondary,dMRI_roi_pca,PC1,corticospinal tract (left),roi_pca,A,G,32568,-0.022598055120773133,0.020638570747992115,-1.0949428328495883,0.2735499210914198,nonrobust,-0.04519611024154627,ok,0.2735499210914198,0.5629634061636675,42,14.0,False,False,False
