column_name,family,panel,modality,metric,region,tier_source,include
head_size_scaling,exploratory,exploratory,T1,head_size_scaling,,basket,False
dMRI_TBSS_FA_middle_cerebellar_peduncle,exploratory,primary,dMRI_TBSS,FA,middle cerebellar peduncle,basket,True
dMRI_TBSS_FA_pontine_crossing_tract,exploratory,primary,dMRI_TBSS,FA,pontine crossing tract,basket,True
dMRI_TBSS_FA_genu_of_corpus_callosum,exploratory,primary,dMRI_TBSS,FA,genu of corpus callosum,basket,True
dMRI_TBSS_FA_body_of_corpus_callosum,exploratory,primary,dMRI_TBSS,FA,body of corpus callosum,basket,True
dMRI_TBSS_FA_splenium_of_corpus_callosum,exploratory,primary,dMRI_TBSS,FA,splenium of corpus callosum,basket,True
dMRI_TBSS_FA_fornix,exploratory,primary,dMRI_TBSS,FA,fornix,basket,True
dMRI_TBSS_FA_corticospinal_tract_right,exploratory,primary,dMRI_TBSS,FA,corticospinal tract (right),basket,True
dMRI_TBSS_FA_corticospinal_tract_left,exploratory,primary,dMRI_TBSS,FA,corticospinal tract (left),basket,True
dMRI_TBSS_FA_medial_lemniscus_right,exploratory,primary,dMRI_TBSS,FA,medial lemniscus (right),basket,True
dMRI_TBSS_FA_medial_lemniscus_left,exploratory,primary,dMRI_TBSS,FA,medial lemniscus (left),basket,True
dMRI_TBSS_FA_inferior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,FA,inferior cerebellar peduncle (right),basket,True
dMRI_TBSS_FA_inferior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,FA,inferior cerebellar peduncle (left),basket,True
dMRI_TBSS_FA_superior_cerebellar_peduncle_right,exploratory,primary,dMRI_TBSS,FA,superior cerebellar peduncle (right),basket,True
dMRI_TBSS_FA_superior_cerebellar_peduncle_left,exploratory,primary,dMRI_TBSS,FA,superior cerebellar peduncle (left),basket,True
dMRI_TBSS_FA_cerebral_peduncle_right,exploratory,primary,dMRI_TBSS,FA,cerebral peduncle (right),basket,True
dMRI_TBSS_FA_cerebral_peduncle_left,exploratory,primary,dMRI_TBSS,FA,cerebral peduncle (left),basket,True
dMRI_TBSS_FA_anterior_limb_of_internal_capsule_right,exploratory,primary,dMRI_TBSS,FA,anterior limb of internal capsule (right),basket,True
dMRI_TBSS_FA_anterior_limb_of_internal_capsule_left,exploratory,primary,dMRI_TBSS,FA,anterior limb of internal capsule (left),basket,True
