tract,tract_query,metric,loading,pc,explained_variance_ratio
superior cerebellar peduncle (left),superior cerebellar peduncle,FA_tbss,-0.38444449135466874,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,MD_tbss,0.4032259407607186,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,MO_tbss,-0.17659673451662508,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,L1_tbss,0.15795029935427915,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,L2_tbss,0.46151216317457916,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,L3_tbss,0.45909517391718097,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,ICVF_tbss,-0.21907029121608843,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,OD_tbss,0.1776654625042047,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,ISOVF_tbss,0.3607740366547752,PC1,0.5001863635127333
superior cerebellar peduncle (left),superior cerebellar peduncle,FA_tbss,0.296630798685286,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,MD_tbss,0.30030000099956755,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,MO_tbss,0.438517660150217,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,L1_tbss,0.5352805584721354,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,L2_tbss,-0.04709908108825321,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,L3_tbss,0.030536922534679663,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,ICVF_tbss,0.1803002026006732,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,OD_tbss,-0.4555379445697866,PC2,0.3117657497519872
superior cerebellar peduncle (left),superior cerebellar peduncle,ISOVF_tbss,0.3159640091073215,PC2,0.3117657497519872
superior cerebellar peduncle (right),superior cerebellar peduncle,FA_tbss,-0.36819794150947777,PC1,0.49239892729056345
superior cerebellar peduncle (right),superior cerebellar peduncle,MD_tbss,0.4142891632421182,PC1,0.49239892729056345
superior cerebellar peduncle (right),superior cerebellar peduncle,MO_tbss,-0.17147398310020587,PC1,0.49239892729056345
